price,score,max_score,score_pct,bias,alignment,kj_h1,kj_h4,kj_d1,kj_w1,kj_mn,d_kj_h4,tk_h1,tk_h4,tk_d1,d_tk_h4,d_tk_d1,tkx_h1,tkx_h4,tkx_d1,kumo_h1,kumo_h4,kumo_d1,sl,tp,rr,d_sl_pips,d_tp_pips,is_forex,is_jpy,is_xau,is_index,is_dxy,day_of_week,month,outcome
1.3459400000000001,0,109,0.0,0.0,0,1.34677,1.34659,1.3329,1.336795,0.0,-6.499999999998174,1.347185,1.345165,1.34453,7.750000000001922,14.100000000001334,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-1.0
156.827,72,109,0.6666666666666666,1.0,6,156.757,156.37099999999998,156.04649999999998,151.05700000000002,0.0,45.60000000000173,156.757,156.757,156.598,6.999999999999318,22.8999999999985,0.0,1.0,1.0,1.0,0.0,0.0,156.757,156.967,2.0,6.999999999999318,-14.000000000001478,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
0.66932,60,109,0.5555555555555556,1.0,5,0.66859,0.66934,0.65957,0.65708,0.0,-0.20000000000020002,0.6687449999999999,0.6683250000000001,0.66637,9.949999999999681,29.50000000000008,1.0,-1.0,1.0,1.0,0.0,0.0,0.66859,0.67078,2.0,7.300000000000084,-14.600000000000168,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
1.37298,60,109,0.5555555555555556,1.0,5,1.372395,1.3695050000000002,1.38737,1.38578,0.0,34.74999999999895,1.3734250000000001,1.371795,1.372405,11.849999999999916,5.749999999999922,1.0,1.0,-1.0,1.0,0.0,0.0,1.3724,1.37415,2.0,5.800000000000249,-11.699999999998933,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
0.7924,0,109,0.0,0.0,0,0.7921,0.79077,0.7973399999999999,0.8000050000000001,0.0,16.300000000000203,0.79172,0.792125,0.791175,2.7500000000002522,12.250000000000316,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-1.0
183.808,0,109,0.0,0.0,0,184.06349999999998,183.915,182.5,177.3145,0.0,-10.699999999999932,183.9125,184.06349999999998,183.51299999999998,-25.549999999998363,29.50000000000159,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,-1.0
211.081,72,109,0.6666666666666666,1.0,6,211.085,210.876,208.387,203.301,0.0,20.49999999999841,211.171,210.8875,209.7505,19.350000000000023,133.05000000000007,1.0,1.0,1.0,1.0,0.0,0.0,210.876,211.491,2.0,20.49999999999841,-41.0000000000025,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
4330.51,0,109,0.0,0.0,0,4353.4,4412.15,4339.505,3908.88,0.0,-816.3999999999942,4355.9400000000005,4352.665,4412.15,-221.54999999999745,-816.3999999999942,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,-1.0
48342.98,48,109,0.4444444444444444,1.0,4,48109.85,48290.805,47993.93,46096.494999999995,0.0,521750.0000000291,48109.85,48109.85,48281.994999999995,2331300.0000000466,609850.0000000786,0.0,-1.0,1.0,0.0,0.0,0.0,48290.805,48447.33,2.0,521750.0000000291,-1043499.9999999854,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0
25202.86,60,109,0.5555555555555556,-1.0,5,25334.15,25394.0,25244.25,24421.449999999997,0.0,-1911399.9999999942,25334.15,25334.15,25340.73,-1312900.0000000088,-1378699.9999999898,0.0,-1.0,1.0,-1.0,0.0,0.0,25244.25,25120.08,2.0,-413899.9999999942,827799.9999999884,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
6856.22,0,109,0.0,0.0,0,6858.5,6883.280000000001,6830.6,6572.075000000001,0.0,-270600.000000004,6858.5,6863.35,6855.030000000001,-71300.00000000109,11899.999999995998,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,-1.0
98.448,60,109,0.5555555555555556,1.0,5,98.3125,98.1775,98.842,98.3015,0.0,27.04999999999984,98.3255,98.3125,98.2405,13.54999999999933,20.749999999999602,1.0,1.0,-1.0,1.0,0.0,0.0,98.3125,98.45071,0.02,13.54999999999933,-0.27100000000075397,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0
1.17204,0,109,0.0,0.0,0,1.169395,1.172385,1.1681599999999999,1.1655,0.0,-3.450000000000397,1.169395,1.1706750000000001,1.17336,13.649999999998386,-13.199999999999878,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
1.35402,84,109,0.7777777777777778,1.0,7,1.3481,1.34748,1.33637,1.336795,0.0,65.3999999999999,1.34864,1.3481,1.345955,59.19999999999925,80.64999999999989,1.0,1.0,1.0,1.0,0.0,0.0,1.3481,1.36586,2.0,59.19999999999925,-118.40000000000073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156.387,0,109,0.0,0.0,0,156.703,156.5195,156.04649999999998,151.833,0.0,-13.249999999999318,156.543,156.703,156.6275,-31.60000000000025,-24.049999999999727,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
0.67139,72,109,0.6666666666666666,1.0,6,0.66908,0.668915,0.6621300000000001,0.65903,0.0,24.75000000000005,0.66908,0.66908,0.6665650000000001,23.100000000000342,48.24999999999968,0.0,1.0,1.0,1.0,0.0,0.0,0.66908,0.67601,2.0,23.100000000000342,-46.19999999999958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.37701,0,109,0.0,0.0,0,1.3771049999999998,1.373915,1.38466,1.38578,0.0,30.9500000000007,1.3780199999999998,1.3766349999999998,1.3728850000000001,3.7500000000023626,41.249999999999346,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
0.79173,60,109,0.5555555555555556,-1.0,5,0.7936749999999999,0.792175,0.7973399999999999,0.8000050000000001,0.0,-4.449999999999177,0.794005,0.79343,0.791445,-16.99999999999924,2.8500000000009074,1.0,1.0,-1.0,-1.0,0.0,0.0,0.79217,0.79084,2.0,-4.3999999999999595,8.900000000000574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
