is_forex,is_jpy_pair,is_xau,is_xag,is_index,is_crypto,is_dxy,session_asian,session_london,session_ny,killzone_asian_open,killzone_london_open,killzone_london_close,killzone_ny_open,killzone_ny_close,day_monday,day_tuesday,day_wednesday,day_thursday,day_friday,hour_sin,hour_cos,dxy_price,dxy_kj_h1,dxy_vs_kj_h1,dxy_vs_price_ratio,dxy_kj_h1_norm,dxy_divergence,dxy_trend,dxy_trend_x_bias,news_count,is_high_news_day,ou_score,hurst_h,mc_p_sl,mc_p_tp,garch_persistence,garch_long_run_vol,garch_half_life,garch_forecast_vol_1,price,score,max_score,score_pct,bias,alignment,sl,tp,rr,kj_h1,d_kj_h1,kj_m30,d_kj_m30,kj_m15,d_kj_m15,kj_m5,d_kj_m5,kj_h4,d_kj_h4,kj_d1,d_kj_d1,tk_h1,d_tk_h1,tk_m30,d_tk_m30,tk_m15,d_tk_m15,tk_m5,d_tk_m5,tk_h4,d_tk_h4,tk_d1,d_tk_d1,tkx_h1,tkx_h4,tkx_d1,tkx_w1,tkx_mn,kumo_h1,kumo_h4,kumo_d1,kumo_w1,kumo_mn,kj_m30_cross_bear,kj_m30_cross_bull,tk_m30_cross_bear,tk_m30_cross_bull,kj_m15_cross_bear,kj_m15_cross_bull,tk_m15_cross_bear,tk_m15_cross_bull,kj_m5_cross_bear,kj_m5_cross_bull,tk_m5_cross_bear,tk_m5_cross_bull,flat_h1,flat_h4,fvg_active_count,ob_h1_bear_level,ob_h1_bull_level,ob_h4_bear_level,ob_h4_bull_level,ob_d1_bear_level,ob_d1_bull_level,asian_high_swept,asian_low_swept,london_high_swept,london_low_swept,swept_both,vol_hvn_h1,vol_lvn_h1,vol_hvn_h4,vol_lvn_h4,vol_hvn_d1,vol_lvn_d1,mss_h1_bull,mss_h1_bear,mss_h4_bull,mss_h4_bear,mss_d1_bull,mss_d1_bear,compression_pips,tkx_h1_conflict,outcome
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,1.0,0,0.0,36.23897136426295,0.683996167804659,0.0,1.0,0.600918,0.00229126,1.36,0.002166081085264062,21014.74,72.0,109.0,0.6605504587155964,-1.0,6.0,21143.75,20756.72,2.0,21143.75,-1290099.999999984,0.0,0.0,0.0,0.0,0.0,0.0,21410.75,-3960099.999999984,21370.5,-3557599.999999984,21119.65,-1049099.9999999986,0.0,0.0,0.0,0.0,0.0,0.0,21203.15,-1884099.9999999986,21397.5,-3827599.999999984,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21704.25,0.0,22037.35,20722.05,22106.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,1.0,0,0.0,17.561120565505025,0.6856666537945748,0.0,1.0,0.645263,0.00179194,1.58,0.0015800804948960887,5883.48,84.0,109.0,0.7706422018348624,-1.0,7.0,5899.32,5851.8,2.0,5899.32,-158400.00000000146,0.0,0.0,0.0,0.0,0.0,0.0,5954.765,-712850.0000000077,5948.115,-646350.0000000022,5895.27,-117900.00000000873,0.0,0.0,0.0,0.0,0.0,0.0,5913.22,-297400.0000000069,5933.3150000000005,-498350.00000000943,-1.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5962.42,0.0,6070.31,5796.32,6074.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,1.0,0,0.0,0.0,0.6975071968197848,0.0,0.0,0.795218,0.00111367,3.02,0.001016914173381381,1.02666,84.0,109.0,0.7706422018348624,-1.0,7.0,1.02997,1.02003,2.0,1.0299749999999999,-33.149999999999565,0.0,0.0,0.0,0.0,0.0,0.0,1.0341200000000002,-74.60000000000244,1.04269,-160.2999999999999,1.027685,-10.250000000000536,0.0,0.0,0.0,0.0,0.0,0.0,1.032205,-55.45000000000133,1.0341200000000002,-74.60000000000244,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.04583,0.0,1.05031,0.0,1.09364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,1.0,0,0.0,0.0,0.7573590132621133,0.0,0.0,0.859536,0.00094628,4.58,0.0007390720422510758,1.23795,84.0,109.0,0.7706422018348624,-1.0,7.0,1.24462,1.22462,2.0,1.244615,-66.64999999999921,0.0,0.0,0.0,0.0,0.0,0.0,1.24794,-99.89999999999944,1.25815,-201.99999999999994,1.23865,-6.999999999999229,0.0,0.0,0.0,0.0,0.0,0.0,1.245305,-73.55000000000001,1.250925,-129.7499999999996,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.25339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,-1.0,0,0.0,23.806978286678316,0.7645739446806599,0.5294,0.4706,0.944569,0.00116976,12.15,0.0012055902379117431,157.531,84.0,109.0,0.7706422018348624,1.0,7.0,157.1405,158.312,2.0,157.1405,39.050000000000296,0.0,0.0,0.0,0.0,0.0,0.0,157.0485,48.25000000000159,153.361,417.0000000000016,157.2405,29.050000000000864,0.0,0.0,0.0,0.0,0.0,0.0,157.1405,39.050000000000296,156.256,127.50000000000057,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.467,0.0,151.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,1.0,-1.0,1.0,0,0.0,26.308329256423935,0.6138965291986692,0.49,0.1856,0.636871,0.00100749,1.54,0.0010054157619470902,0.62016,60.0,109.0,0.5504587155963303,-1.0,5.0,0.62127,0.61794,2.0,0.6201000000000001,0.5999999999994898,0.0,0.0,0.0,0.0,0.0,0.0,0.62127,-11.099999999999444,0.635345,-151.85000000000005,0.620635,-4.750000000000032,0.0,0.0,0.0,0.0,0.0,0.0,0.620075,0.8500000000000174,0.62266,-24.999999999999467,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6327,0.0,0.63777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,0.0,-1.0,-1.0,0,0.0,21.73933450129605,0.5749186101470916,0.6062,0.3938,0.596369,0.00069948,1.34,0.0007010519398257697,1.44043,72.0,109.0,0.6605504587155964,1.0,6.0,1.43934,1.4426,2.0,1.4405299999999999,-0.9999999999976694,0.0,0.0,0.0,0.0,0.0,0.0,1.4393449999999999,10.850000000002247,1.4222549999999998,181.75000000000273,1.4417,-12.699999999998823,0.0,0.0,0.0,0.0,0.0,0.0,1.440265,1.6500000000019277,1.44011,3.20000000000098,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,0.0,-1.0,-1.0,0,0.0,32.47535268075845,0.662153403254247,0.286,0.0496,0.600918,0.00093987,1.36,0.0008880018310737743,0.91237,84.0,109.0,0.7706422018348624,1.0,7.0,0.90878,0.91954,2.0,0.908785,35.850000000000605,0.0,0.0,0.0,0.0,0.0,0.0,0.906045,63.25000000000025,0.89352,188.50000000000034,0.9106650000000001,17.049999999999564,0.0,0.0,0.0,0.0,0.0,0.0,0.9086650000000001,37.049999999999585,0.90236,100.09999999999964,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89209,0.0,0.86156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,0.0,-1.0,1.0,0,0.0,0.8221396331431788,0.5991990774587935,0.4562,0.5438,0.455,0.00137551,0.88,0.001371123362812142,161.728,60.0,109.0,0.5504587155963303,-1.0,5.0,162.0975,160.989,2.0,162.0975,-36.949999999998795,0.0,0.0,0.0,0.0,0.0,0.0,162.8895,-116.14999999999895,160.531,119.70000000000027,161.578,15.000000000000568,0.0,0.0,0.0,0.0,0.0,0.0,162.14499999999998,-41.69999999999732,162.3715,-64.34999999999889,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,164.858,0.0,0.0,160.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,100.76,-100.76,0.0,0.0,0.0,-1.0,1.0,0,0.0,3.9241397471520103,0.7938970249703174,0.4468,0.5532,0.455,0.00141596,0.88,0.001411306774542399,195.015,60.0,109.0,0.5504587155963303,-1.0,5.0,195.853,193.339,2.0,195.853,-83.80000000000223,0.0,0.0,0.0,0.0,0.0,0.0,196.5655,-155.04999999999995,193.51,150.49999999999955,194.7505,26.449999999999818,0.0,0.0,0.0,0.0,0.0,0.0,195.853,-83.80000000000223,196.501,-148.60000000000184,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
