is_forex,is_jpy_pair,is_xau,is_xag,is_index,is_crypto,is_dxy,session_asian,session_london,session_ny,killzone_asian_open,killzone_london_open,killzone_london_close,killzone_ny_open,killzone_ny_close,day_monday,day_tuesday,day_wednesday,day_thursday,day_friday,hour_sin,hour_cos,dxy_price,dxy_kj_h1,dxy_vs_kj_h1,news_count,is_high_news_day,price,score,max_score,score_pct,bias,alignment,sl,tp,rr,kj_h1,d_kj_h1,kj_m30,d_kj_m30,kj_m15,d_kj_m15,kj_m5,d_kj_m5,kj_h4,d_kj_h4,kj_d1,d_kj_d1,tk_h1,d_tk_h1,tk_m30,d_tk_m30,tk_m15,d_tk_m15,tk_m5,d_tk_m5,tk_h4,d_tk_h4,tk_d1,d_tk_d1,tkx_h1,tkx_h4,tkx_d1,tkx_w1,tkx_mn,kumo_h1,kumo_h4,kumo_d1,kumo_w1,kumo_mn,kj_m30_cross_bear,kj_m30_cross_bull,tk_m30_cross_bear,tk_m30_cross_bull,kj_m15_cross_bear,kj_m15_cross_bull,tk_m15_cross_bear,tk_m15_cross_bull,kj_m5_cross_bear,kj_m5_cross_bull,tk_m5_cross_bear,tk_m5_cross_bull,flat_h1,flat_h4,fvg_active_count,ob_h1_bear_level,ob_h1_bull_level,ob_h4_bear_level,ob_h4_bull_level,ob_d1_bear_level,ob_d1_bull_level,asian_high_swept,asian_low_swept,london_high_swept,london_low_swept,swept_both,vol_hvn_h1,vol_lvn_h1,vol_hvn_h4,vol_lvn_h4,vol_hvn_d1,vol_lvn_d1,mss_h1_bull,mss_h1_bear,mss_h4_bull,mss_h4_bear,mss_d1_bull,mss_d1_bear,compression_pips,tkx_h1_conflict,outcome
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,1.17454,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17397,5.699999999999594,0.0,0.0,0.0,0.0,0.0,0.0,1.175845,-13.050000000001116,1.1659899999999999,85.50000000000057,1.1739799999999998,5.60000000000116,0.0,0.0,0.0,0.0,0.0,0.0,1.17488,-3.4000000000000696,1.175545,-10.050000000001447,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,1.34738,48.0,109.0,0.44036697247706424,1.0,4.0,1.34659,1.34896,2.0,1.344245,31.3500000000011,0.0,0.0,0.0,0.0,0.0,0.0,1.34659,7.900000000000684,1.3314499999999998,159.30000000000223,1.344245,31.3500000000011,0.0,0.0,0.0,0.0,0.0,0.0,1.34659,7.900000000000684,1.34371,36.70000000000062,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,156.671,84.0,109.0,0.7706422018348624,1.0,7.0,156.6575,156.698,2.0,156.6575,1.3499999999993406,0.0,0.0,0.0,0.0,0.0,0.0,156.334,33.69999999999891,156.04649999999998,62.45000000000118,156.78699999999998,-11.599999999998545,0.0,0.0,0.0,0.0,0.0,0.0,156.368,30.299999999999727,156.517,15.399999999999636,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,0.6673,60.0,109.0,0.5504587155963303,-1.0,5.0,0.66804,0.66583,2.0,0.668035,-7.350000000000412,0.0,0.0,0.0,0.0,0.0,0.0,0.66934,-20.400000000000418,0.658165,91.35000000000004,0.66737,-0.700000000000145,0.0,0.0,0.0,0.0,0.0,0.0,0.668575,-12.750000000000261,0.665985,13.149999999999551,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,1.37208,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3708049999999998,12.750000000001371,0.0,0.0,0.0,0.0,0.0,0.0,1.368515,35.650000000000404,1.388365,-162.85000000000105,1.3708049999999998,12.750000000001371,0.0,0.0,0.0,0.0,0.0,0.0,1.3703699999999999,17.100000000001003,1.372405,-3.2500000000013074,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,0.79251,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927200000000001,-2.100000000000435,0.0,0.0,0.0,0.0,0.0,0.0,0.7902750000000001,22.34999999999987,0.79816,-56.49999999999933,0.792925,-4.149999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.79091,16.00000000000046,0.7913699999999999,11.400000000001409,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,184.035,72.0,109.0,0.6605504587155964,1.0,6.0,183.887,184.331,2.0,183.887,14.799999999999613,0.0,0.0,0.0,0.0,0.0,0.0,183.8545,18.0499999999995,182.5,153.49999999999966,184.0855,-5.0499999999999545,0.0,0.0,0.0,0.0,0.0,0.0,183.826,20.90000000000032,183.51299999999998,52.20000000000198,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,211.096,72.0,109.0,0.6605504587155964,1.0,6.0,210.768,211.752,2.0,210.72750000000002,36.84999999999832,0.0,0.0,0.0,0.0,0.0,0.0,210.768,32.800000000000296,208.2895,280.65,210.7725,32.34999999999957,0.0,0.0,0.0,0.0,0.0,0.0,210.72750000000002,36.84999999999832,209.71050000000002,138.5499999999979,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,4314.45,60.0,109.0,0.5504587155963303,-1.0,5.0,4323.84,4295.67,2.0,4323.84,-93.90000000000327,0.0,0.0,0.0,0.0,0.0,0.0,4412.15,-976.9999999999982,4329.635,-151.850000000004,4328.89,-144.4000000000051,0.0,0.0,0.0,0.0,0.0,0.0,4339.33,-248.8000000000011,4412.15,-976.9999999999982,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,100.747,100.76,-0.01300000000000523,0,0.0,48072.18,60.0,109.0,0.5504587155963303,-1.0,5.0,48234.605,47747.33,2.0,48234.604999999996,-1624249.9999999562,0.0,0.0,0.0,0.0,0.0,0.0,48407.244999999995,-3350649.9999999506,47603.395000000004,4687849.999999962,48217.86,-1456800.0000000028,0.0,0.0,0.0,0.0,0.0,0.0,48263.005,-1908249.999999971,48281.994999999995,-2098149.9999999506,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
